time,nasi,jouge+,jouge,zenmen+,zenmen,musi+,musi,image,image2(banner),correct,incorrect
0.000602800000002901,0,0,0,0,0,0,0,,,0,0
0.44612610000000075,0,0,0,0,0,0,0,,,0,0
0.46279280000000256,0,0,0,0,0,0,0,,,0,0
0.4794596999999996,0,0,0,0,0,0,0,,,0,0
0.4961266000000002,0,0,0,0,0,0,0,,,0,0
0.5127933999999996,0,0,0,0,0,0,0,,,0,0
0.5294604000000014,0,0,0,0,0,0,0,,,0,0
0.5461270999999996,0,0,0,0,0,0,0,,,0,0
0.5627941000000014,0,0,0,0,0,0,0,,,0,0
0.579461000000002,0,0,0,0,0,0,0,,,0,0
0.5961278000000014,0,0,0,0,0,0,0,,,0,0
0.6127947999999996,0,0,0,0,0,0,0,,,0,0
0.6294618000000014,0,0,0,0,0,0,0,,,0,0
0.6461286000000008,0,0,0,0,0,0,0,,,0,0
0.6627953000000026,0,0,0,0,0,0,0,,,0,0
0.6794623000000009,0,0,0,0,0,0,0,,,0,0
0.6961291000000003,0,0,0,0,0,0,0,,,0,0
0.712796100000002,0,0,0,0,0,0,0,,,0,0
0.7294629000000015,0,0,0,0,0,0,0,,,0,0
0.7461297000000009,0,0,0,0,0,0,0,,,0,0
0.7627964000000027,0,0,0,0,0,0,0,,,0,0
0.7794632000000021,0,0,0,0,0,0,0,,,0,0
0.7961301000000027,0,0,0,0,0,0,0,,,0,0
0.8127971000000009,0,0,0,0,0,0,0,,,0,0
0.8294639000000004,0,0,0,0,0,0,0,,,0,0
0.846130800000001,0,0,0,0,0,0,0,,,0,0
0.8627978000000027,0,0,0,0,0,0,0,,,0,0
0.879464500000001,0,0,0,0,0,0,0,,,0,0
0.8961315000000027,0,0,0,0,0,0,0,,,0,0
0.9127983000000022,0,0,0,0,0,0,0,,,0,0
0.9294650000000004,0,0,0,0,0,0,0,,,0,0
0.9461317000000022,0,0,0,0,0,0,0,,,0,0
0.9627985000000017,0,0,0,0,0,0,0,,,0,0
0.9794651999999999,0,0,0,0,0,0,0,,,0,0
0.9961322000000017,0,0,0,0,0,0,0,,,0,0
1.0127992,0,0,0,0,0,0,0,,,0,0
1.0294661000000005,0,0,0,0,0,0,0,,,0,0
1.0461329,0,0,0,0,0,0,0,,,0,0
1.0627998000000005,0,0,0,0,0,0,0,,,0,0
1.0794665000000023,0,0,0,0,0,0,0,,,0,0
1.0961333000000018,0,0,0,0,0,0,0,,,0,0
1.1128,0,0,0,0,0,0,0,,,0,0
1.1294669000000006,0,0,0,0,0,0,0,,,0,0
1.1461339000000024,0,0,0,0,0,0,0,,,0,0
1.1628009000000006,0,0,0,0,0,0,0,,,0,0
1.1794677,0,0,0,0,0,0,0,,,0,0
1.1961346000000006,0,0,0,0,0,0,0,,,0,0
1.2128055000000018,0,0,0,0,0,0,0,,,0,0
1.2294722,0,0,0,0,0,0,0,,,0,0
1.2461389000000018,0,0,0,0,0,0,0,,,0,0
1.2628056,0,0,0,0,0,0,0,,,0,0
1.2794726000000018,0,0,0,0,0,0,0,,,0,0
1.2961394000000013,0,0,0,0,0,0,0,,,0,0
1.3128063999999995,0,0,0,0,0,0,0,,,0,0
1.3294732000000025,0,0,0,0,0,0,0,,,0,0
1.3461399000000007,0,0,0,0,0,0,0,,,0,0
1.3628066000000025,0,0,0,0,0,0,0,,,0,0
1.3794734999999996,0,0,0,0,0,0,0,,,0,0
1.3961403000000026,0,0,0,0,0,0,0,,,0,0
1.4128071999999996,0,0,0,0,0,0,0,,,0,0
1.4294741000000002,0,0,0,0,0,0,0,,,0,0
1.446141100000002,0,0,0,0,0,0,0,,,0,0
1.4628079000000014,0,0,0,0,0,0,0,,,0,0
1.479474800000002,0,0,0,0,0,0,0,,,0,0
1.4961416000000014,0,0,0,0,0,0,0,,,0,0
1.5128084000000008,0,0,0,0,0,0,0,,,0,0
1.5294754000000026,0,0,0,0,0,0,0,,,0,0
1.5461422999999996,0,0,0,0,0,0,0,,,0,0
1.5628093000000014,0,0,0,0,0,0,0,,,0,0
1.5794762999999996,0,0,0,0,0,0,0,,,0,0
1.5961431000000026,0,0,0,0,0,0,0,,,0,0
1.6128101000000008,0,0,0,0,0,0,0,,,0,0
1.6294768000000026,0,0,0,0,0,0,0,,,0,0
1.6461435000000009,0,0,0,0,0,0,0,,,0,0
1.6628103000000003,0,0,0,0,0,0,0,,,0,0
1.6794770999999997,0,0,0,0,0,0,0,,,0,0
